year,time,winner,iso,flag,country,color
1896,12,Thomas Burke,us,us,Vereinigte Staaten,#d30000
1900,11,Frank Jarvis,us,us,Vereinigte Staaten,#d30000
1904,11,Archie Hahn,us,us,Vereinigte Staaten,#d30000
1908,10.8,Reggie Walker,za,za,Südafrika,#21c921
1912,10.8,Ralph Craig,us,us,Vereinigte Staaten,#d30000
1916,,,,,,
1920,10.6,Charley Paddock,us,us,Vereinigte Staaten,#d30000
1924,10.6,Harold Abrahams,gb,gb,Grossbritannien,#1b57a9
1928,10.8,Percy Williams,ca,ca,Kanada,#ffffff
1932,10.38,Eddie Tolan,us,us,Vereinigte Staaten,#d30000
1936,10.3,Jesse Owens,us,us,Vereinigte Staaten,#d30000
1940,,,,,,
1944,,,,,,
1948,10.3,Harrison Dillard,us,us,Vereinigte Staaten,#d30000
1952,10.79,Lindy Remigino,us,us,Vereinigte Staaten,#d30000
1956,10.62,Bobby Morrow,us,us,Vereinigte Staaten,#d30000
1960,10.2,Armin Hary,de,de,Deutschland,#000000
1964,10,Bob Hayes,us,us,Vereinigte Staaten,#d30000
1968,9.95,Jim Hines,us,us,Vereinigte Staaten,#d30000
1972,10.14,Valeriy Borzov,,udssr,Sowjetunion,#9f9f9f
1976,10.06,Hasely Crawford,tt,tt,Trinidad,#4dd5aa
1980,10.25,Allan Wells,gb,gb,Grossbritannien,#1b57a9
1984,9.99,Carl Lewis,us,us,Vereinigte Staaten,#d30000
1988,9.92,Carl Lewis,us,us,Vereinigte Staaten,#d30000
1992,9.96,Linford Christie,gb,gb,Grossbritannien,#1b57a9
1996,9.84,Donovan Bailey,ca,ca,Kanada,#ffffff
2000,9.87,Maurice Greene,us,us,Vereinigte Staaten,#d30000
2004,9.85,Justin Gatlin,us,us,Vereinigte Staaten,#d30000
2008,9.69,Usain Bolt,jm,jm,Jamaika,#e3e53a
2012,9.63,Usain Bolt,jm,jm,Jamaika,#e3e53a
2016,9.81,Usain Bolt,jm,jm,Jamaika,#e3e53a
