year,time,winner,iso,country,color
1896,12,Thomas Burke,us,USA,#d30000
1900,11,Frank Jarvis,us,USA,#d30000
1904,11,Archie Hahn,us,USA,#d30000
1908,10.8,Reggie Walker,za,Südafrika,#21c921
1912,10.8,Ralph Craig,us,USA,#d30000
1916,,,,,
1920,10.6,Charley Paddock,us,USA,#d30000
1924,10.6,Harold Abrahams,gb,Grossbritannien,#1b57a9
1928,10.8,Percy Williams,ca,Kanada,#ffffff
1932,10.38,Eddie Tolan,us,USA,#d30000
1936,10.3,Jesse Owens,us,USA,#d30000
1940,,,,,
1944,,,,,
1948,10.3,Harrison Dillard,us,USA,#d30000
1952,10.79,Lindy Remigino,us,USA,#d30000
1956,10.5,Bobby Morrow,us,USA,#d30000
1960,10.2,Armin Hary,de,DE,#000000
1964,10,Bob Hayes,us,USA,si
1968,9.9,Jim Hines,us,USA,#d30000
1972,10.14,Valeriy Borzov,,Sowjetunion,#9f9f9f
1976,10.06,Hasely Crawford,tt,Trinidad,#4dd5aa
1980,10.25,Allan Wells,gb,Grossbritannien,#1b57a9
1984,9.99,Carl Lewis,us,USA,#d30000
1988,9.92,Carl Lewis,us,USA,#d30000
1992,9.96,Linford Christie,gb,Grossbritannien,#1b57a9
1996,9.84,Donovan Bailey,ca,Kanada,#ffffff
2000,9.87,Maurice Greene,us,USA,#d30000
2004,9.85,Justin Gatlin,us,USA,#d30000
2008,9.69,Usain Bolt,jm,Jamaika,#e3e53a
2012,9.63,Usain Bolt,jm,Jamaika,#e3e53a
2016,9.58,Usain Bolt,jm,Jamaika,#e3e53a
